2025-11-09 02:06:43,20,0.08,0.00,33.15
2025-11-20 03:52:53,20,0.09,0.00,34.64
2025-11-20 18:08:54,20,0.09,0.00,33.05
2025-11-20 22:23:50,20,0.11,0.00,28.66
2025-11-20 22:30:30,20,0.07,0.00,30.84
2025-11-20 22:32:23,20,0.07,0.00,31.80
2025-11-20 22:34:01,20,0.07,0.00,29.32
2025-11-21 00:31:40,20,0.07,0.00,25.70
2025-11-21 00:39:06,20,0.06,0.00,26.00
2025-11-21 00:42:40,20,0.06,0.00,24.55
2025-11-21 02:08:35,20,0.07,0.00,27.51
2025-11-21 02:53:01,20,0.07,0.00,32.61
2025-11-21 03:34:10,20,0.07,0.00,23.43
2025-11-21 18:09:18,20,0.09,0.00,31.89
